,year,danceability
0,1970.0,37
0,1971.0,38
0,1972.0,50
0,1973.0,35
0,1974.0,43
0,1975.0,38
0,1976.0,30
0,1977.0,36
0,1978.0,35
0,1979.0,31
0,1980.0,37
0,1981.0,33
0,1982.0,24
0,1983.0,17
0,1984.0,16
0,1985.0,28
0,1986.0,21
0,1987.0,18
0,1988.0,24
0,1989.0,21
0,1990.0,17
0,1991.0,26
0,1992.0,18
0,1993.0,27
0,1994.0,21
0,1995.0,21
0,1996.0,31
0,1997.0,25
0,1998.0,20
0,1999.0,8
0,2000.0,8
0,2001.0,8
0,2002.0,11
0,2003.0,7
0,2004.0,9
0,2005.0,4
0,2006.0,9
0,2007.0,7
0,2008.0,6
0,2009.0,8
0,2010.0,9
0,2011.0,12
0,2012.0,10
0,2013.0,9
0,2014.0,15
0,2015.0,9
0,2016.0,8
0,2017.0,18
0,2018.0,18
0,2019.0,3
1,1970.0,15
1,1971.0,14
1,1972.0,14
1,1973.0,20
1,1974.0,11
1,1975.0,8
1,1976.0,9
1,1977.0,10
1,1978.0,12
1,1979.0,8
1,1980.0,5
1,1981.0,12
1,1982.0,19
1,1983.0,16
1,1984.0,12
1,1985.0,12
1,1986.0,12
1,1987.0,14
1,1988.0,19
1,1989.0,21
1,1990.0,25
1,1991.0,19
1,1992.0,32
1,1993.0,33
1,1994.0,31
1,1995.0,32
1,1996.0,29
1,1997.0,36
1,1998.0,34
1,1999.0,36
1,2000.0,47
1,2001.0,54
1,2002.0,55
1,2003.0,62
1,2004.0,61
1,2005.0,68
1,2006.0,55
1,2007.0,52
1,2008.0,47
1,2009.0,48
1,2010.0,44
1,2011.0,42
1,2012.0,42
1,2013.0,41
1,2014.0,55
1,2015.0,58
1,2016.0,61
1,2017.0,54
1,2018.0,49
1,2019.0,6
2,1970.0,44
2,1971.0,44
2,1972.0,34
2,1973.0,42
2,1974.0,41
2,1975.0,53
2,1976.0,59
2,1977.0,51
2,1978.0,53
2,1979.0,57
2,1980.0,51
2,1981.0,51
2,1982.0,55
2,1983.0,66
2,1984.0,68
2,1985.0,58
2,1986.0,65
2,1987.0,65
2,1988.0,51
2,1989.0,52
2,1990.0,54
2,1991.0,53
2,1992.0,48
2,1993.0,38
2,1994.0,46
2,1995.0,39
2,1996.0,36
2,1997.0,32
2,1998.0,40
2,1999.0,53
2,2000.0,39
2,2001.0,30
2,2002.0,23
2,2003.0,31
2,2004.0,29
2,2005.0,25
2,2006.0,31
2,2007.0,35
2,2008.0,41
2,2009.0,42
2,2010.0,46
2,2011.0,45
2,2012.0,46
2,2013.0,48
2,2014.0,28
2,2015.0,28
2,2016.0,29
2,2017.0,27
2,2018.0,26
2,2019.0,6
